# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.55]
# Max mean shortest path [4.075]
# Range of value [2.525]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.72500    0.84455     0.84455        0.15545    0.90000
01.95000    0.77327     0.77327        0.22673    0.90000
01.55000    0.90000     0.90000        0.10000    0.90000
01.82500    0.81287     0.81287        0.18713    0.90000
01.97500    0.76535     0.76535        0.23465    0.90000
02.40000    0.63069     0.63069        0.36931    0.90000
02.30000    0.66238     0.66238        0.33762    0.90000
01.82500    0.81287     0.81287        0.18713    0.90000
01.85000    0.80495     0.80495        0.19505    0.90000
02.62500    0.55941     0.55941        0.44059    0.90000
02.42500    0.62277     0.62277        0.37723    0.90000
02.07500    0.73366     0.73366        0.26634    0.90000
02.17500    0.70198     0.70198        0.29802    0.90000
03.07500    0.41683     0.41683        0.58317    0.90000
02.20000    0.69406     0.69406        0.30594    0.90000
02.65000    0.55149     0.55149        0.44851    0.90000
02.45000    0.61485     0.61485        0.38515    0.90000
01.92500    0.78119     0.78119        0.21881    0.90000
02.02500    0.74950     0.74950        0.25050    0.90000
02.52500    0.59109     0.59109        0.40891    0.90000
02.40000    0.63069     0.63069        0.36931    0.90000
03.17500    0.38515     0.38515        0.61485    0.90000
03.22500    0.36931     0.36931        0.63069    0.90000
01.65000    0.86832     0.86832        0.13168    0.90000
02.02500    0.74950     0.74950        0.25050    0.90000
01.70000    0.85248     0.85248        0.14752    0.90000
01.70000    0.85248     0.85248        0.14752    0.90000
02.97500    0.44851     0.44851        0.55149    0.90000
01.67500    0.86040     0.86040        0.13960    0.90000
04.05000    0.10792     0.10792        0.89208    0.90000
03.32500    0.33762     0.33762        0.66238    0.90000
04.07500    0.10000     0.10000        0.90000    0.90000
01.95000    0.77327     0.77327        0.22673    0.90000
02.42500    0.62277     0.62277        0.37723    0.90000
01.85000    0.80495     0.80495        0.19505    0.90000
03.32500    0.33762     0.33762        0.66238    0.90000
02.52500    0.59109     0.59109        0.40891    0.90000
02.40000    0.63069     0.63069        0.36931    0.90000
03.35000    0.32970     0.32970        0.67030    0.90000
02.00000    0.75743     0.75743        0.24257    0.90000
