# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.6]
# Max mean shortest path [3.7]
# Range of value [2.1]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.67500    0.87143     0.87143        0.12857    0.90000
01.62500    0.89048     0.89048        0.10952    0.90000
01.75000    0.84286     0.84286        0.15714    0.90000
01.80000    0.82381     0.82381        0.17619    0.90000
01.65000    0.88095     0.88095        0.11905    0.90000
02.07500    0.71905     0.71905        0.28095    0.90000
02.12500    0.70000     0.70000        0.30000    0.90000
02.25000    0.65238     0.65238        0.34762    0.90000
02.57500    0.52857     0.52857        0.47143    0.90000
01.77500    0.83333     0.83333        0.16667    0.90000
01.85000    0.80476     0.80476        0.19524    0.90000
01.60000    0.90000     0.90000        0.10000    0.90000
02.45000    0.57619     0.57619        0.42381    0.90000
01.60000    0.90000     0.90000        0.10000    0.90000
01.87500    0.79524     0.79524        0.20476    0.90000
02.17500    0.68095     0.68095        0.31905    0.90000
02.10000    0.70952     0.70952        0.29048    0.90000
02.95000    0.38571     0.38571        0.61429    0.90000
01.72500    0.85238     0.85238        0.14762    0.90000
02.45000    0.57619     0.57619        0.42381    0.90000
01.92500    0.77619     0.77619        0.22381    0.90000
02.30000    0.63333     0.63333        0.36667    0.90000
01.70000    0.86190     0.86190        0.13810    0.90000
02.77500    0.45238     0.45238        0.54762    0.90000
02.00000    0.74762     0.74762        0.25238    0.90000
02.00000    0.74762     0.74762        0.25238    0.90000
01.87500    0.79524     0.79524        0.20476    0.90000
01.92500    0.77619     0.77619        0.22381    0.90000
03.70000    0.10000     0.10000        0.90000    0.90000
02.47500    0.56667     0.56667        0.43333    0.90000
02.52500    0.54762     0.54762        0.45238    0.90000
02.15000    0.69048     0.69048        0.30952    0.90000
02.20000    0.67143     0.67143        0.32857    0.90000
02.17500    0.68095     0.68095        0.31905    0.90000
02.50000    0.55714     0.55714        0.44286    0.90000
02.80000    0.44286     0.44286        0.55714    0.90000
03.30000    0.25238     0.25238        0.74762    0.90000
02.32500    0.62381     0.62381        0.37619    0.90000
02.57500    0.52857     0.52857        0.47143    0.90000
03.70000    0.10000     0.10000        0.90000    0.90000
