# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.65]
# Max mean shortest path [3.8]
# Range of value [2.15]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.85000    0.82558     0.82558        0.17442    0.90000
01.85000    0.82558     0.82558        0.17442    0.90000
02.05000    0.75116     0.75116        0.24884    0.90000
01.77500    0.85349     0.85349        0.14651    0.90000
01.72500    0.87209     0.87209        0.12791    0.90000
01.85000    0.82558     0.82558        0.17442    0.90000
01.67500    0.89070     0.89070        0.10930    0.90000
02.25000    0.67674     0.67674        0.32326    0.90000
01.65000    0.90000     0.90000        0.10000    0.90000
02.17500    0.70465     0.70465        0.29535    0.90000
02.07500    0.74186     0.74186        0.25814    0.90000
01.87500    0.81628     0.81628        0.18372    0.90000
02.77500    0.48140     0.48140        0.51860    0.90000
02.37500    0.63023     0.63023        0.36977    0.90000
01.82500    0.83488     0.83488        0.16512    0.90000
02.75000    0.49070     0.49070        0.50930    0.90000
01.72500    0.87209     0.87209        0.12791    0.90000
02.37500    0.63023     0.63023        0.36977    0.90000
01.95000    0.78837     0.78837        0.21163    0.90000
02.37500    0.63023     0.63023        0.36977    0.90000
02.50000    0.58372     0.58372        0.41628    0.90000
02.97500    0.40698     0.40698        0.59302    0.90000
02.72500    0.50000     0.50000        0.50000    0.90000
02.47500    0.59302     0.59302        0.40698    0.90000
03.55000    0.19302     0.19302        0.80698    0.90000
02.25000    0.67674     0.67674        0.32326    0.90000
03.30000    0.28605     0.28605        0.71395    0.90000
02.00000    0.76977     0.76977        0.23023    0.90000
02.15000    0.71395     0.71395        0.28605    0.90000
03.05000    0.37907     0.37907        0.62093    0.90000
02.50000    0.58372     0.58372        0.41628    0.90000
02.85000    0.45349     0.45349        0.54651    0.90000
01.70000    0.88140     0.88140        0.11860    0.90000
02.92500    0.42558     0.42558        0.57442    0.90000
02.12500    0.72326     0.72326        0.27674    0.90000
02.72500    0.50000     0.50000        0.50000    0.90000
02.32500    0.64884     0.64884        0.35116    0.90000
02.25000    0.67674     0.67674        0.32326    0.90000
02.67500    0.51860     0.51860        0.48140    0.90000
03.80000    0.10000     0.10000        0.90000    0.90000
