# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.3]
# Max mean shortest path [2.533333]
# Range of value [1.233333]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.46667    0.79189     0.79189        0.20811    0.90000
01.40000    0.83514     0.83514        0.16486    0.90000
02.10000    0.38108     0.38108        0.61892    0.90000
01.33333    0.87838     0.87838        0.12162    0.90000
01.43333    0.81351     0.81351        0.18649    0.90000
02.53333    0.10000     0.10000        0.90000    0.90000
01.83333    0.55405     0.55405        0.44595    0.90000
01.60000    0.70541     0.70541        0.29459    0.90000
02.50000    0.12162     0.12162        0.87838    0.90000
01.90000    0.51081     0.51081        0.48919    0.90000
01.33333    0.87838     0.87838        0.12162    0.90000
02.40000    0.18649     0.18649        0.81351    0.90000
01.96667    0.46757     0.46757        0.53243    0.90000
02.50000    0.12162     0.12162        0.87838    0.90000
01.53333    0.74865     0.74865        0.25135    0.90000
02.30000    0.25135     0.25135        0.74865    0.90000
01.30000    0.90000     0.90000        0.10000    0.90000
01.50000    0.77027     0.77027        0.22973    0.90000
01.56667    0.72703     0.72703        0.27297    0.90000
01.83333    0.55405     0.55405        0.44595    0.90000
02.33333    0.22973     0.22973        0.77027    0.90000
02.03333    0.42432     0.42432        0.57568    0.90000
02.03333    0.42432     0.42432        0.57568    0.90000
02.13333    0.35946     0.35946        0.64054    0.90000
01.80000    0.57568     0.57568        0.42432    0.90000
01.76667    0.59730     0.59730        0.40270    0.90000
02.10000    0.38108     0.38108        0.61892    0.90000
01.66667    0.66216     0.66216        0.33784    0.90000
02.53333    0.10000     0.10000        0.90000    0.90000
01.83333    0.55405     0.55405        0.44595    0.90000
