# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.333333]
# Max mean shortest path [2.766667]
# Range of value [1.433334]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.53333    0.78837     0.78837        0.21163    0.90000
01.53333    0.78837     0.78837        0.21163    0.90000
02.10000    0.47209     0.47209        0.52791    0.90000
02.06667    0.49070     0.49070        0.50930    0.90000
01.80000    0.63953     0.63953        0.36047    0.90000
01.86667    0.60233     0.60233        0.39767    0.90000
01.53333    0.78837     0.78837        0.21163    0.90000
01.66667    0.71395     0.71395        0.28605    0.90000
01.46667    0.82558     0.82558        0.17442    0.90000
01.50000    0.80698     0.80698        0.19302    0.90000
01.63333    0.73256     0.73256        0.26744    0.90000
01.76667    0.65814     0.65814        0.34186    0.90000
02.06667    0.49070     0.49070        0.50930    0.90000
01.96667    0.54651     0.54651        0.45349    0.90000
01.33333    0.90000     0.90000        0.10000    0.90000
02.76667    0.10000     0.10000        0.90000    0.90000
01.50000    0.80698     0.80698        0.19302    0.90000
02.06667    0.49070     0.49070        0.50930    0.90000
01.96667    0.54651     0.54651        0.45349    0.90000
01.80000    0.63953     0.63953        0.36047    0.90000
02.56667    0.21163     0.21163        0.78837    0.90000
01.76667    0.65814     0.65814        0.34186    0.90000
02.43333    0.28605     0.28605        0.71395    0.90000
01.76667    0.65814     0.65814        0.34186    0.90000
01.83333    0.62093     0.62093        0.37907    0.90000
02.33333    0.34186     0.34186        0.65814    0.90000
01.80000    0.63953     0.63953        0.36047    0.90000
02.03333    0.50930     0.50930        0.49070    0.90000
01.66667    0.71395     0.71395        0.28605    0.90000
02.16667    0.43488     0.43488        0.56512    0.90000
