# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.525]
# Max mean shortest path [3.95]
# Range of value [2.425]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.87500    0.78454     0.78454        0.21546    0.90000
02.05000    0.72680     0.72680        0.27320    0.90000
01.52500    0.90000     0.90000        0.10000    0.90000
02.02500    0.73505     0.73505        0.26495    0.90000
01.85000    0.79278     0.79278        0.20722    0.90000
01.75000    0.82577     0.82577        0.17423    0.90000
01.77500    0.81753     0.81753        0.18247    0.90000
02.75000    0.49588     0.49588        0.50412    0.90000
02.32500    0.63608     0.63608        0.36392    0.90000
01.80000    0.80928     0.80928        0.19072    0.90000
01.70000    0.84227     0.84227        0.15773    0.90000
02.10000    0.71031     0.71031        0.28969    0.90000
02.47500    0.58660     0.58660        0.41340    0.90000
02.70000    0.51237     0.51237        0.48763    0.90000
02.02500    0.73505     0.73505        0.26495    0.90000
02.00000    0.74330     0.74330        0.25670    0.90000
02.45000    0.59485     0.59485        0.40515    0.90000
02.70000    0.51237     0.51237        0.48763    0.90000
03.25000    0.33093     0.33093        0.66907    0.90000
03.07500    0.38866     0.38866        0.61134    0.90000
01.70000    0.84227     0.84227        0.15773    0.90000
03.57500    0.22371     0.22371        0.77629    0.90000
02.60000    0.54536     0.54536        0.45464    0.90000
02.45000    0.59485     0.59485        0.40515    0.90000
03.07500    0.38866     0.38866        0.61134    0.90000
02.57500    0.55361     0.55361        0.44639    0.90000
03.25000    0.33093     0.33093        0.66907    0.90000
01.82500    0.80103     0.80103        0.19897    0.90000
01.75000    0.82577     0.82577        0.17423    0.90000
02.15000    0.69381     0.69381        0.30619    0.90000
02.72500    0.50412     0.50412        0.49588    0.90000
02.97500    0.42165     0.42165        0.57835    0.90000
03.95000    0.10000     0.10000        0.90000    0.90000
02.27500    0.65258     0.65258        0.34742    0.90000
03.27500    0.32268     0.32268        0.67732    0.90000
02.00000    0.74330     0.74330        0.25670    0.90000
02.42500    0.60309     0.60309        0.39691    0.90000
03.52500    0.24021     0.24021        0.75979    0.90000
02.00000    0.74330     0.74330        0.25670    0.90000
01.92500    0.76804     0.76804        0.23196    0.90000
