# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [0.95]
# Max mean shortest path [2]
# Range of value [1.05]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.35000    0.59524     0.59524        0.40476    0.90000
01.65000    0.36667     0.36667        0.63333    0.90000
00.95000    0.90000     0.90000        0.10000    0.90000
01.15000    0.74762     0.74762        0.25238    0.90000
01.05000    0.82381     0.82381        0.17619    0.90000
01.20000    0.70952     0.70952        0.29048    0.90000
01.25000    0.67143     0.67143        0.32857    0.90000
01.35000    0.59524     0.59524        0.40476    0.90000
01.45000    0.51905     0.51905        0.48095    0.90000
01.85000    0.21429     0.21429        0.78571    0.90000
01.65000    0.36667     0.36667        0.63333    0.90000
01.15000    0.74762     0.74762        0.25238    0.90000
01.40000    0.55714     0.55714        0.44286    0.90000
01.70000    0.32857     0.32857        0.67143    0.90000
02.00000    0.10000     0.10000        0.90000    0.90000
01.55000    0.44286     0.44286        0.55714    0.90000
02.00000    0.10000     0.10000        0.90000    0.90000
01.75000    0.29048     0.29048        0.70952    0.90000
01.35000    0.59524     0.59524        0.40476    0.90000
01.75000    0.29048     0.29048        0.70952    0.90000
