# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.6]
# Max mean shortest path [3.3]
# Range of value [1.7]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.60000    0.90000     0.90000        0.10000    0.90000
01.90000    0.75882     0.75882        0.24118    0.90000
01.70000    0.85294     0.85294        0.14706    0.90000
01.87500    0.77059     0.77059        0.22941    0.90000
01.70000    0.85294     0.85294        0.14706    0.90000
02.22500    0.60588     0.60588        0.39412    0.90000
01.82500    0.79412     0.79412        0.20588    0.90000
02.17500    0.62941     0.62941        0.37059    0.90000
02.25000    0.59412     0.59412        0.40588    0.90000
01.80000    0.80588     0.80588        0.19412    0.90000
02.50000    0.47647     0.47647        0.52353    0.90000
02.57500    0.44118     0.44118        0.55882    0.90000
02.17500    0.62941     0.62941        0.37059    0.90000
01.62500    0.88824     0.88824        0.11176    0.90000
02.17500    0.62941     0.62941        0.37059    0.90000
02.07500    0.67647     0.67647        0.32353    0.90000
01.67500    0.86471     0.86471        0.13529    0.90000
01.75000    0.82941     0.82941        0.17059    0.90000
02.47500    0.48824     0.48824        0.51176    0.90000
02.97500    0.25294     0.25294        0.74706    0.90000
02.45000    0.50000     0.50000        0.50000    0.90000
02.85000    0.31176     0.31176        0.68824    0.90000
02.05000    0.68824     0.68824        0.31176    0.90000
02.42500    0.51176     0.51176        0.48824    0.90000
02.57500    0.44118     0.44118        0.55882    0.90000
02.20000    0.61765     0.61765        0.38235    0.90000
02.00000    0.71176     0.71176        0.28824    0.90000
02.50000    0.47647     0.47647        0.52353    0.90000
02.45000    0.50000     0.50000        0.50000    0.90000
02.77500    0.34706     0.34706        0.65294    0.90000
02.55000    0.45294     0.45294        0.54706    0.90000
02.70000    0.38235     0.38235        0.61765    0.90000
02.32500    0.55882     0.55882        0.44118    0.90000
01.80000    0.80588     0.80588        0.19412    0.90000
03.30000    0.10000     0.10000        0.90000    0.90000
01.87500    0.77059     0.77059        0.22941    0.90000
02.77500    0.34706     0.34706        0.65294    0.90000
01.95000    0.73529     0.73529        0.26471    0.90000
02.87500    0.30000     0.30000        0.70000    0.90000
03.12500    0.18235     0.18235        0.81765    0.90000
