# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.65]
# Max mean shortest path [3.5]
# Range of value [1.85]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.90000    0.79189     0.79189        0.20811    0.90000
01.67500    0.88919     0.88919        0.11081    0.90000
01.87500    0.80270     0.80270        0.19730    0.90000
01.77500    0.84595     0.84595        0.15405    0.90000
01.85000    0.81351     0.81351        0.18649    0.90000
01.65000    0.90000     0.90000        0.10000    0.90000
02.02500    0.73784     0.73784        0.26216    0.90000
02.27500    0.62973     0.62973        0.37027    0.90000
02.37500    0.58649     0.58649        0.41351    0.90000
02.02500    0.73784     0.73784        0.26216    0.90000
02.37500    0.58649     0.58649        0.41351    0.90000
01.72500    0.86757     0.86757        0.13243    0.90000
02.05000    0.72703     0.72703        0.27297    0.90000
02.27500    0.62973     0.62973        0.37027    0.90000
02.27500    0.62973     0.62973        0.37027    0.90000
01.70000    0.87838     0.87838        0.12162    0.90000
02.67500    0.45676     0.45676        0.54324    0.90000
02.55000    0.51081     0.51081        0.48919    0.90000
02.87500    0.37027     0.37027        0.62973    0.90000
01.70000    0.87838     0.87838        0.12162    0.90000
02.15000    0.68378     0.68378        0.31622    0.90000
02.05000    0.72703     0.72703        0.27297    0.90000
02.47500    0.54324     0.54324        0.45676    0.90000
01.92500    0.78108     0.78108        0.21892    0.90000
02.72500    0.43514     0.43514        0.56486    0.90000
02.82500    0.39189     0.39189        0.60811    0.90000
02.87500    0.37027     0.37027        0.62973    0.90000
03.02500    0.30541     0.30541        0.69459    0.90000
02.62500    0.47838     0.47838        0.52162    0.90000
02.15000    0.68378     0.68378        0.31622    0.90000
03.45000    0.12162     0.12162        0.87838    0.90000
02.85000    0.38108     0.38108        0.61892    0.90000
02.27500    0.62973     0.62973        0.37027    0.90000
02.37500    0.58649     0.58649        0.41351    0.90000
02.15000    0.68378     0.68378        0.31622    0.90000
03.15000    0.25135     0.25135        0.74865    0.90000
03.50000    0.10000     0.10000        0.90000    0.90000
02.47500    0.54324     0.54324        0.45676    0.90000
03.15000    0.25135     0.25135        0.74865    0.90000
02.97500    0.32703     0.32703        0.67297    0.90000
