# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.333333]
# Max mean shortest path [3.133333]
# Range of value [1.8]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.76667    0.70741     0.70741        0.29259    0.90000
01.83333    0.67778     0.67778        0.32222    0.90000
01.60000    0.78148     0.78148        0.21852    0.90000
01.63333    0.76667     0.76667        0.23333    0.90000
01.53333    0.81111     0.81111        0.18889    0.90000
02.50000    0.38148     0.38148        0.61852    0.90000
02.10000    0.55926     0.55926        0.44074    0.90000
01.56667    0.79630     0.79630        0.20370    0.90000
02.13333    0.54444     0.54444        0.45556    0.90000
03.10000    0.11481     0.11481        0.88519    0.90000
01.63333    0.76667     0.76667        0.23333    0.90000
01.50000    0.82593     0.82593        0.17407    0.90000
01.66667    0.75185     0.75185        0.24815    0.90000
02.30000    0.47037     0.47037        0.52963    0.90000
02.20000    0.51481     0.51481        0.48519    0.90000
01.33333    0.90000     0.90000        0.10000    0.90000
01.66667    0.75185     0.75185        0.24815    0.90000
01.46667    0.84074     0.84074        0.15926    0.90000
02.43333    0.41111     0.41111        0.58889    0.90000
01.60000    0.78148     0.78148        0.21852    0.90000
03.13333    0.10000     0.10000        0.90000    0.90000
02.43333    0.41111     0.41111        0.58889    0.90000
01.90000    0.64815     0.64815        0.35185    0.90000
01.76667    0.70741     0.70741        0.29259    0.90000
02.60000    0.33704     0.33704        0.66296    0.90000
01.93333    0.63333     0.63333        0.36667    0.90000
02.13333    0.54444     0.54444        0.45556    0.90000
01.96667    0.61852     0.61852        0.38148    0.90000
01.43333    0.85556     0.85556        0.14444    0.90000
01.83333    0.67778     0.67778        0.32222    0.90000
