# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1]
# Max mean shortest path [2.1]
# Range of value [1.1]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.15000    0.79091     0.79091        0.20909    0.90000
01.10000    0.82727     0.82727        0.17273    0.90000
01.20000    0.75455     0.75455        0.24545    0.90000
01.25000    0.71818     0.71818        0.28182    0.90000
01.00000    0.90000     0.90000        0.10000    0.90000
01.60000    0.46364     0.46364        0.53636    0.90000
01.25000    0.71818     0.71818        0.28182    0.90000
01.45000    0.57273     0.57273        0.42727    0.90000
01.75000    0.35455     0.35455        0.64545    0.90000
01.35000    0.64545     0.64545        0.35455    0.90000
01.45000    0.57273     0.57273        0.42727    0.90000
01.20000    0.75455     0.75455        0.24545    0.90000
01.40000    0.60909     0.60909        0.39091    0.90000
01.75000    0.35455     0.35455        0.64545    0.90000
01.70000    0.39091     0.39091        0.60909    0.90000
01.75000    0.35455     0.35455        0.64545    0.90000
02.10000    0.10000     0.10000        0.90000    0.90000
01.75000    0.35455     0.35455        0.64545    0.90000
01.45000    0.57273     0.57273        0.42727    0.90000
01.90000    0.24545     0.24545        0.75455    0.90000
