# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.78]
# Max mean shortest path [4.02]
# Range of value [2.24]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.98000    0.82857     0.82857        0.17143    0.90000
01.82000    0.88571     0.88571        0.11429    0.90000
02.40000    0.67857     0.67857        0.32143    0.90000
02.12000    0.77857     0.77857        0.22143    0.90000
02.36000    0.69286     0.69286        0.30714    0.90000
02.42000    0.67143     0.67143        0.32857    0.90000
02.06000    0.80000     0.80000        0.20000    0.90000
01.80000    0.89286     0.89286        0.10714    0.90000
02.42000    0.67143     0.67143        0.32857    0.90000
01.92000    0.85000     0.85000        0.15000    0.90000
01.78000    0.90000     0.90000        0.10000    0.90000
02.34000    0.70000     0.70000        0.30000    0.90000
01.92000    0.85000     0.85000        0.15000    0.90000
02.54000    0.62857     0.62857        0.37143    0.90000
02.42000    0.67143     0.67143        0.32857    0.90000
02.16000    0.76429     0.76429        0.23571    0.90000
03.28000    0.36429     0.36429        0.63571    0.90000
02.00000    0.82143     0.82143        0.17857    0.90000
01.90000    0.85714     0.85714        0.14286    0.90000
02.44000    0.66429     0.66429        0.33571    0.90000
02.08000    0.79286     0.79286        0.20714    0.90000
01.92000    0.85000     0.85000        0.15000    0.90000
02.76000    0.55000     0.55000        0.45000    0.90000
03.64000    0.23571     0.23571        0.76429    0.90000
02.76000    0.55000     0.55000        0.45000    0.90000
02.88000    0.50714     0.50714        0.49286    0.90000
03.10000    0.42857     0.42857        0.57143    0.90000
02.34000    0.70000     0.70000        0.30000    0.90000
02.68000    0.57857     0.57857        0.42143    0.90000
03.04000    0.45000     0.45000        0.55000    0.90000
02.38000    0.68571     0.68571        0.31429    0.90000
02.24000    0.73571     0.73571        0.26429    0.90000
02.36000    0.69286     0.69286        0.30714    0.90000
02.98000    0.47143     0.47143        0.52857    0.90000
02.86000    0.51429     0.51429        0.48571    0.90000
02.58000    0.61429     0.61429        0.38571    0.90000
04.02000    0.10000     0.10000        0.90000    0.90000
02.20000    0.75000     0.75000        0.25000    0.90000
04.02000    0.10000     0.10000        0.90000    0.90000
03.76000    0.19286     0.19286        0.80714    0.90000
01.92000    0.85000     0.85000        0.15000    0.90000
02.68000    0.57857     0.57857        0.42143    0.90000
03.14000    0.41429     0.41429        0.58571    0.90000
04.02000    0.10000     0.10000        0.90000    0.90000
03.54000    0.27143     0.27143        0.72857    0.90000
01.98000    0.82857     0.82857        0.17143    0.90000
03.30000    0.35714     0.35714        0.64286    0.90000
02.26000    0.72857     0.72857        0.27143    0.90000
02.68000    0.57857     0.57857        0.42143    0.90000
02.34000    0.70000     0.70000        0.30000    0.90000
