# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.88]
# Max mean shortest path [4.06]
# Range of value [2.18]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
02.18000    0.78991     0.78991        0.21009    0.90000
02.14000    0.80459     0.80459        0.19541    0.90000
02.08000    0.82661     0.82661        0.17339    0.90000
01.90000    0.89266     0.89266        0.10734    0.90000
01.90000    0.89266     0.89266        0.10734    0.90000
01.94000    0.87798     0.87798        0.12202    0.90000
02.36000    0.72385     0.72385        0.27615    0.90000
02.52000    0.66514     0.66514        0.33486    0.90000
02.62000    0.62844     0.62844        0.37156    0.90000
02.04000    0.84128     0.84128        0.15872    0.90000
02.38000    0.71651     0.71651        0.28349    0.90000
01.92000    0.88532     0.88532        0.11468    0.90000
02.16000    0.79725     0.79725        0.20275    0.90000
02.48000    0.67982     0.67982        0.32018    0.90000
02.36000    0.72385     0.72385        0.27615    0.90000
01.88000    0.90000     0.90000        0.10000    0.90000
02.72000    0.59174     0.59174        0.40826    0.90000
02.84000    0.54771     0.54771        0.45229    0.90000
02.88000    0.53303     0.53303        0.46697    0.90000
01.88000    0.90000     0.90000        0.10000    0.90000
02.22000    0.77523     0.77523        0.22477    0.90000
02.30000    0.74587     0.74587        0.25413    0.90000
02.66000    0.61376     0.61376        0.38624    0.90000
02.02000    0.84862     0.84862        0.15138    0.90000
02.78000    0.56972     0.56972        0.43028    0.90000
02.92000    0.51835     0.51835        0.48165    0.90000
03.10000    0.45229     0.45229        0.54771    0.90000
03.06000    0.46697     0.46697        0.53303    0.90000
02.54000    0.65780     0.65780        0.34220    0.90000
02.28000    0.75321     0.75321        0.24679    0.90000
03.36000    0.35688     0.35688        0.64312    0.90000
02.76000    0.57706     0.57706        0.42294    0.90000
02.36000    0.72385     0.72385        0.27615    0.90000
02.40000    0.70917     0.70917        0.29083    0.90000
02.12000    0.81193     0.81193        0.18807    0.90000
03.22000    0.40826     0.40826        0.59174    0.90000
03.40000    0.34220     0.34220        0.65780    0.90000
02.56000    0.65046     0.65046        0.34954    0.90000
02.78000    0.56972     0.56972        0.43028    0.90000
03.04000    0.47431     0.47431        0.52569    0.90000
03.76000    0.21009     0.21009        0.78991    0.90000
03.78000    0.20275     0.20275        0.79725    0.90000
02.72000    0.59174     0.59174        0.40826    0.90000
02.50000    0.67248     0.67248        0.32752    0.90000
03.58000    0.27615     0.27615        0.72385    0.90000
03.42000    0.33486     0.33486        0.66514    0.90000
04.04000    0.10734     0.10734        0.89266    0.90000
04.06000    0.10000     0.10000        0.90000    0.90000
02.10000    0.81927     0.81927        0.18073    0.90000
03.10000    0.45229     0.45229        0.54771    0.90000
