# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.5]
# Max mean shortest path [4.1]
# Range of value [2.6]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.60000    0.86923     0.86923        0.13077    0.90000
01.57500    0.87692     0.87692        0.12308    0.90000
01.80000    0.80769     0.80769        0.19231    0.90000
01.92500    0.76923     0.76923        0.23077    0.90000
01.97500    0.75385     0.75385        0.24615    0.90000
02.17500    0.69231     0.69231        0.30769    0.90000
02.40000    0.62308     0.62308        0.37692    0.90000
01.67500    0.84615     0.84615        0.15385    0.90000
01.85000    0.79231     0.79231        0.20769    0.90000
03.22500    0.36923     0.36923        0.63077    0.90000
01.70000    0.83846     0.83846        0.16154    0.90000
02.27500    0.66154     0.66154        0.33846    0.90000
02.92500    0.46154     0.46154        0.53846    0.90000
02.42500    0.61538     0.61538        0.38462    0.90000
01.52500    0.89231     0.89231        0.10769    0.90000
02.02500    0.73846     0.73846        0.26154    0.90000
01.82500    0.80000     0.80000        0.20000    0.90000
01.65000    0.85385     0.85385        0.14615    0.90000
03.37500    0.32308     0.32308        0.67692    0.90000
02.30000    0.65385     0.65385        0.34615    0.90000
02.50000    0.59231     0.59231        0.40769    0.90000
02.67500    0.53846     0.53846        0.46154    0.90000
02.80000    0.50000     0.50000        0.50000    0.90000
04.10000    0.10000     0.10000        0.90000    0.90000
02.02500    0.73846     0.73846        0.26154    0.90000
01.77500    0.81538     0.81538        0.18462    0.90000
02.45000    0.60769     0.60769        0.39231    0.90000
02.97500    0.44615     0.44615        0.55385    0.90000
03.77500    0.20000     0.20000        0.80000    0.90000
01.70000    0.83846     0.83846        0.16154    0.90000
02.05000    0.73077     0.73077        0.26923    0.90000
03.57500    0.26154     0.26154        0.73846    0.90000
03.00000    0.43846     0.43846        0.56154    0.90000
02.67500    0.53846     0.53846        0.46154    0.90000
03.77500    0.20000     0.20000        0.80000    0.90000
01.50000    0.90000     0.90000        0.10000    0.90000
01.90000    0.77692     0.77692        0.22308    0.90000
03.77500    0.20000     0.20000        0.80000    0.90000
02.12500    0.70769     0.70769        0.29231    0.90000
02.35000    0.63846     0.63846        0.36154    0.90000
