# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.475]
# Max mean shortest path [3.225]
# Range of value [1.75]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.52500    0.87714     0.87714        0.12286    0.90000
01.85000    0.72857     0.72857        0.27143    0.90000
02.12500    0.60286     0.60286        0.39714    0.90000
01.75000    0.77429     0.77429        0.22571    0.90000
01.72500    0.78571     0.78571        0.21429    0.90000
02.10000    0.61429     0.61429        0.38571    0.90000
01.50000    0.88857     0.88857        0.11143    0.90000
01.80000    0.75143     0.75143        0.24857    0.90000
01.97500    0.67143     0.67143        0.32857    0.90000
01.70000    0.79714     0.79714        0.20286    0.90000
01.47500    0.90000     0.90000        0.10000    0.90000
02.12500    0.60286     0.60286        0.39714    0.90000
01.70000    0.79714     0.79714        0.20286    0.90000
02.82500    0.28286     0.28286        0.71714    0.90000
02.07500    0.62571     0.62571        0.37429    0.90000
01.95000    0.68286     0.68286        0.31714    0.90000
01.75000    0.77429     0.77429        0.22571    0.90000
02.82500    0.28286     0.28286        0.71714    0.90000
02.25000    0.54571     0.54571        0.45429    0.90000
02.40000    0.47714     0.47714        0.52286    0.90000
02.45000    0.45429     0.45429        0.54571    0.90000
02.07500    0.62571     0.62571        0.37429    0.90000
02.12500    0.60286     0.60286        0.39714    0.90000
02.67500    0.35143     0.35143        0.64857    0.90000
02.40000    0.47714     0.47714        0.52286    0.90000
01.95000    0.68286     0.68286        0.31714    0.90000
02.05000    0.63714     0.63714        0.36286    0.90000
01.82500    0.74000     0.74000        0.26000    0.90000
02.75000    0.31714     0.31714        0.68286    0.90000
02.45000    0.45429     0.45429        0.54571    0.90000
03.22500    0.10000     0.10000        0.90000    0.90000
02.70000    0.34000     0.34000        0.66000    0.90000
02.35000    0.50000     0.50000        0.50000    0.90000
02.47500    0.44286     0.44286        0.55714    0.90000
02.82500    0.28286     0.28286        0.71714    0.90000
02.67500    0.35143     0.35143        0.64857    0.90000
01.57500    0.85429     0.85429        0.14571    0.90000
03.22500    0.10000     0.10000        0.90000    0.90000
03.10000    0.15714     0.15714        0.84286    0.90000
02.82500    0.28286     0.28286        0.71714    0.90000
