# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.3]
# Max mean shortest path [3.5]
# Range of value [2.2]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.33333    0.88788     0.88788        0.11212    0.90000
01.33333    0.88788     0.88788        0.11212    0.90000
01.46667    0.83939     0.83939        0.16061    0.90000
01.56667    0.80303     0.80303        0.19697    0.90000
01.43333    0.85152     0.85152        0.14848    0.90000
01.93333    0.66970     0.66970        0.33030    0.90000
02.06667    0.62121     0.62121        0.37879    0.90000
02.16667    0.58485     0.58485        0.41515    0.90000
02.46667    0.47576     0.47576        0.52424    0.90000
01.53333    0.81515     0.81515        0.18485    0.90000
01.76667    0.73030     0.73030        0.26970    0.90000
01.40000    0.86364     0.86364        0.13636    0.90000
02.06667    0.62121     0.62121        0.37879    0.90000
01.30000    0.90000     0.90000        0.10000    0.90000
01.80000    0.71818     0.71818        0.28182    0.90000
02.03333    0.63333     0.63333        0.36667    0.90000
01.96667    0.65758     0.65758        0.34242    0.90000
02.96667    0.29394     0.29394        0.70606    0.90000
01.36667    0.87576     0.87576        0.12424    0.90000
02.23333    0.56061     0.56061        0.43939    0.90000
01.76667    0.73030     0.73030        0.26970    0.90000
02.13333    0.59697     0.59697        0.40303    0.90000
01.43333    0.85152     0.85152        0.14848    0.90000
02.56667    0.43939     0.43939        0.56061    0.90000
01.70000    0.75455     0.75455        0.24545    0.90000
01.83333    0.70606     0.70606        0.29394    0.90000
01.66667    0.76667     0.76667        0.23333    0.90000
01.66667    0.76667     0.76667        0.23333    0.90000
03.50000    0.10000     0.10000        0.90000    0.90000
02.23333    0.56061     0.56061        0.43939    0.90000
