# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.55]
# Max mean shortest path [3.075]
# Range of value [1.525]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.70000    0.82131     0.82131        0.17869    0.90000
01.85000    0.74262     0.74262        0.25738    0.90000
01.77500    0.78197     0.78197        0.21803    0.90000
02.00000    0.66393     0.66393        0.33607    0.90000
01.77500    0.78197     0.78197        0.21803    0.90000
02.07500    0.62459     0.62459        0.37541    0.90000
01.87500    0.72951     0.72951        0.27049    0.90000
02.12500    0.59836     0.59836        0.40164    0.90000
02.30000    0.50656     0.50656        0.49344    0.90000
01.77500    0.78197     0.78197        0.21803    0.90000
02.90000    0.19180     0.19180        0.80820    0.90000
01.87500    0.72951     0.72951        0.27049    0.90000
03.00000    0.13934     0.13934        0.86066    0.90000
03.07500    0.10000     0.10000        0.90000    0.90000
01.82500    0.75574     0.75574        0.24426    0.90000
02.52500    0.38852     0.38852        0.61148    0.90000
01.75000    0.79508     0.79508        0.20492    0.90000
02.57500    0.36230     0.36230        0.63770    0.90000
02.52500    0.38852     0.38852        0.61148    0.90000
01.55000    0.90000     0.90000        0.10000    0.90000
02.72500    0.28361     0.28361        0.71639    0.90000
01.55000    0.90000     0.90000        0.10000    0.90000
02.57500    0.36230     0.36230        0.63770    0.90000
01.70000    0.82131     0.82131        0.17869    0.90000
01.77500    0.78197     0.78197        0.21803    0.90000
02.07500    0.62459     0.62459        0.37541    0.90000
02.30000    0.50656     0.50656        0.49344    0.90000
02.20000    0.55902     0.55902        0.44098    0.90000
02.75000    0.27049     0.27049        0.72951    0.90000
02.45000    0.42787     0.42787        0.57213    0.90000
01.62500    0.86066     0.86066        0.13934    0.90000
02.72500    0.28361     0.28361        0.71639    0.90000
02.20000    0.55902     0.55902        0.44098    0.90000
02.65000    0.32295     0.32295        0.67705    0.90000
02.47500    0.41475     0.41475        0.58525    0.90000
02.90000    0.19180     0.19180        0.80820    0.90000
01.92500    0.70328     0.70328        0.29672    0.90000
02.27500    0.51967     0.51967        0.48033    0.90000
03.07500    0.10000     0.10000        0.90000    0.90000
01.97500    0.67705     0.67705        0.32295    0.90000
