# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1]
# Max mean shortest path [2.7]
# Range of value [1.7]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.20000    0.80588     0.80588        0.19412    0.90000
01.55000    0.64118     0.64118        0.35882    0.90000
01.05000    0.87647     0.87647        0.12353    0.90000
01.00000    0.90000     0.90000        0.10000    0.90000
01.25000    0.78235     0.78235        0.21765    0.90000
01.05000    0.87647     0.87647        0.12353    0.90000
01.45000    0.68824     0.68824        0.31176    0.90000
02.10000    0.38235     0.38235        0.61765    0.90000
02.10000    0.38235     0.38235        0.61765    0.90000
01.75000    0.54706     0.54706        0.45294    0.90000
01.30000    0.75882     0.75882        0.24118    0.90000
01.95000    0.45294     0.45294        0.54706    0.90000
01.15000    0.82941     0.82941        0.17059    0.90000
01.45000    0.68824     0.68824        0.31176    0.90000
01.55000    0.64118     0.64118        0.35882    0.90000
01.35000    0.73529     0.73529        0.26471    0.90000
01.20000    0.80588     0.80588        0.19412    0.90000
01.90000    0.47647     0.47647        0.52353    0.90000
02.70000    0.10000     0.10000        0.90000    0.90000
01.60000    0.61765     0.61765        0.38235    0.90000
