# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.266667]
# Max mean shortest path [3]
# Range of value [1.733333]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.40000    0.83846     0.83846        0.16154    0.90000
01.90000    0.60769     0.60769        0.39231    0.90000
01.50000    0.79231     0.79231        0.20769    0.90000
01.53333    0.77692     0.77692        0.22308    0.90000
01.26667    0.90000     0.90000        0.10000    0.90000
01.63333    0.73077     0.73077        0.26923    0.90000
01.40000    0.83846     0.83846        0.16154    0.90000
01.70000    0.70000     0.70000        0.30000    0.90000
01.96667    0.57692     0.57692        0.42308    0.90000
01.80000    0.65385     0.65385        0.34615    0.90000
01.96667    0.57692     0.57692        0.42308    0.90000
02.46667    0.34615     0.34615        0.65385    0.90000
02.06667    0.53077     0.53077        0.46923    0.90000
01.33333    0.86923     0.86923        0.13077    0.90000
02.03333    0.54615     0.54615        0.45385    0.90000
01.83333    0.63846     0.63846        0.36154    0.90000
01.40000    0.83846     0.83846        0.16154    0.90000
01.60000    0.74615     0.74615        0.25385    0.90000
01.90000    0.60769     0.60769        0.39231    0.90000
02.63333    0.26923     0.26923        0.73077    0.90000
01.86667    0.62308     0.62308        0.37692    0.90000
02.30000    0.42308     0.42308        0.57692    0.90000
01.66667    0.71538     0.71538        0.28462    0.90000
02.00000    0.56154     0.56154        0.43846    0.90000
02.56667    0.30000     0.30000        0.70000    0.90000
02.26667    0.43846     0.43846        0.56154    0.90000
01.66667    0.71538     0.71538        0.28462    0.90000
02.43333    0.36154     0.36154        0.63846    0.90000
02.33333    0.40769     0.40769        0.59231    0.90000
03.00000    0.10000     0.10000        0.90000    0.90000
