# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.75]
# Max mean shortest path [3.75]
# Range of value [2]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.87500    0.85000     0.85000        0.15000    0.90000
01.90000    0.84000     0.84000        0.16000    0.90000
01.87500    0.85000     0.85000        0.15000    0.90000
02.20000    0.72000     0.72000        0.28000    0.90000
02.95000    0.42000     0.42000        0.58000    0.90000
01.90000    0.84000     0.84000        0.16000    0.90000
02.17500    0.73000     0.73000        0.27000    0.90000
02.02500    0.79000     0.79000        0.21000    0.90000
02.77500    0.49000     0.49000        0.51000    0.90000
02.87500    0.45000     0.45000        0.55000    0.90000
02.85000    0.46000     0.46000        0.54000    0.90000
02.25000    0.70000     0.70000        0.30000    0.90000
02.45000    0.62000     0.62000        0.38000    0.90000
02.87500    0.45000     0.45000        0.55000    0.90000
02.30000    0.68000     0.68000        0.32000    0.90000
01.85000    0.86000     0.86000        0.14000    0.90000
01.75000    0.90000     0.90000        0.10000    0.90000
03.10000    0.36000     0.36000        0.64000    0.90000
02.87500    0.45000     0.45000        0.55000    0.90000
02.30000    0.68000     0.68000        0.32000    0.90000
03.25000    0.30000     0.30000        0.70000    0.90000
02.60000    0.56000     0.56000        0.44000    0.90000
01.85000    0.86000     0.86000        0.14000    0.90000
03.15000    0.34000     0.34000        0.66000    0.90000
01.85000    0.86000     0.86000        0.14000    0.90000
02.50000    0.60000     0.60000        0.40000    0.90000
02.42500    0.63000     0.63000        0.37000    0.90000
02.40000    0.64000     0.64000        0.36000    0.90000
02.00000    0.80000     0.80000        0.20000    0.90000
02.40000    0.64000     0.64000        0.36000    0.90000
02.97500    0.41000     0.41000        0.59000    0.90000
02.60000    0.56000     0.56000        0.44000    0.90000
03.75000    0.10000     0.10000        0.90000    0.90000
01.95000    0.82000     0.82000        0.18000    0.90000
02.22500    0.71000     0.71000        0.29000    0.90000
02.00000    0.80000     0.80000        0.20000    0.90000
02.65000    0.54000     0.54000        0.46000    0.90000
03.12500    0.35000     0.35000        0.65000    0.90000
02.47500    0.61000     0.61000        0.39000    0.90000
01.85000    0.86000     0.86000        0.14000    0.90000
