# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [0.95]
# Max mean shortest path [2.05]
# Range of value [1.1]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.25000    0.68182     0.68182        0.31818    0.90000
01.35000    0.60909     0.60909        0.39091    0.90000
01.40000    0.57273     0.57273        0.42727    0.90000
02.05000    0.10000     0.10000        0.90000    0.90000
00.95000    0.90000     0.90000        0.10000    0.90000
01.50000    0.50000     0.50000        0.50000    0.90000
01.25000    0.68182     0.68182        0.31818    0.90000
01.35000    0.60909     0.60909        0.39091    0.90000
01.30000    0.64545     0.64545        0.35455    0.90000
01.40000    0.57273     0.57273        0.42727    0.90000
01.35000    0.60909     0.60909        0.39091    0.90000
01.65000    0.39091     0.39091        0.60909    0.90000
01.90000    0.20909     0.20909        0.79091    0.90000
01.40000    0.57273     0.57273        0.42727    0.90000
01.05000    0.82727     0.82727        0.17273    0.90000
01.75000    0.31818     0.31818        0.68182    0.90000
00.95000    0.90000     0.90000        0.10000    0.90000
01.70000    0.35455     0.35455        0.64545    0.90000
01.90000    0.20909     0.20909        0.79091    0.90000
01.70000    0.35455     0.35455        0.64545    0.90000
