# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.3]
# Max mean shortest path [2.966667]
# Range of value [1.666667]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.50000    0.80400     0.80400        0.19600    0.90000
01.80000    0.66000     0.66000        0.34000    0.90000
01.53333    0.78800     0.78800        0.21200    0.90000
02.23333    0.45200     0.45200        0.54800    0.90000
01.46667    0.82000     0.82000        0.18000    0.90000
01.73333    0.69200     0.69200        0.30800    0.90000
01.80000    0.66000     0.66000        0.34000    0.90000
01.86667    0.62800     0.62800        0.37200    0.90000
01.30000    0.90000     0.90000        0.10000    0.90000
01.76667    0.67600     0.67600        0.32400    0.90000
01.40000    0.85200     0.85200        0.14800    0.90000
02.46667    0.34000     0.34000        0.66000    0.90000
02.00000    0.56400     0.56400        0.43600    0.90000
01.90000    0.61200     0.61200        0.38800    0.90000
02.00000    0.56400     0.56400        0.43600    0.90000
02.70000    0.22800     0.22800        0.77200    0.90000
01.46667    0.82000     0.82000        0.18000    0.90000
02.66667    0.24400     0.24400        0.75600    0.90000
02.13333    0.50000     0.50000        0.50000    0.90000
01.33333    0.88400     0.88400        0.11600    0.90000
01.56667    0.77200     0.77200        0.22800    0.90000
01.90000    0.61200     0.61200        0.38800    0.90000
02.03333    0.54800     0.54800        0.45200    0.90000
02.46667    0.34000     0.34000        0.66000    0.90000
02.96667    0.10000     0.10000        0.90000    0.90000
01.50000    0.80400     0.80400        0.19600    0.90000
01.83333    0.64400     0.64400        0.35600    0.90000
02.66667    0.24400     0.24400        0.75600    0.90000
02.43333    0.35600     0.35600        0.64400    0.90000
02.63333    0.26000     0.26000        0.74000    0.90000
