# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.575]
# Max mean shortest path [3.7]
# Range of value [2.125]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.60000    0.89059     0.89059        0.10941    0.90000
02.10000    0.70235     0.70235        0.29765    0.90000
01.70000    0.85294     0.85294        0.14706    0.90000
01.57500    0.90000     0.90000        0.10000    0.90000
01.77500    0.82471     0.82471        0.17529    0.90000
01.72500    0.84353     0.84353        0.15647    0.90000
01.95000    0.75882     0.75882        0.24118    0.90000
01.95000    0.75882     0.75882        0.24118    0.90000
01.95000    0.75882     0.75882        0.24118    0.90000
02.57500    0.52353     0.52353        0.47647    0.90000
02.25000    0.64588     0.64588        0.35412    0.90000
01.85000    0.79647     0.79647        0.20353    0.90000
02.10000    0.70235     0.70235        0.29765    0.90000
02.77500    0.44824     0.44824        0.55176    0.90000
01.60000    0.89059     0.89059        0.10941    0.90000
02.32500    0.61765     0.61765        0.38235    0.90000
01.82500    0.80588     0.80588        0.19412    0.90000
02.60000    0.51412     0.51412        0.48588    0.90000
01.75000    0.83412     0.83412        0.16588    0.90000
01.82500    0.80588     0.80588        0.19412    0.90000
02.17500    0.67412     0.67412        0.32588    0.90000
02.47500    0.56118     0.56118        0.43882    0.90000
02.37500    0.59882     0.59882        0.40118    0.90000
03.05000    0.34471     0.34471        0.65529    0.90000
02.75000    0.45765     0.45765        0.54235    0.90000
01.77500    0.82471     0.82471        0.17529    0.90000
03.45000    0.19412     0.19412        0.80588    0.90000
02.15000    0.68353     0.68353        0.31647    0.90000
02.70000    0.47647     0.47647        0.52353    0.90000
01.97500    0.74941     0.74941        0.25059    0.90000
02.00000    0.74000     0.74000        0.26000    0.90000
02.92500    0.39176     0.39176        0.60824    0.90000
03.70000    0.10000     0.10000        0.90000    0.90000
03.02500    0.35412     0.35412        0.64588    0.90000
02.17500    0.67412     0.67412        0.32588    0.90000
02.32500    0.61765     0.61765        0.38235    0.90000
02.50000    0.55176     0.55176        0.44824    0.90000
02.42500    0.58000     0.58000        0.42000    0.90000
02.60000    0.51412     0.51412        0.48588    0.90000
02.52500    0.54235     0.54235        0.45765    0.90000
