# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.266667]
# Max mean shortest path [3.166667]
# Range of value [1.9]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.26667    0.90000     0.90000        0.10000    0.90000
01.36667    0.85789     0.85789        0.14211    0.90000
01.50000    0.80175     0.80175        0.19825    0.90000
01.46667    0.81579     0.81579        0.18421    0.90000
01.96667    0.60526     0.60526        0.39474    0.90000
02.03333    0.57719     0.57719        0.42281    0.90000
02.03333    0.57719     0.57719        0.42281    0.90000
01.46667    0.81579     0.81579        0.18421    0.90000
01.70000    0.71754     0.71754        0.28246    0.90000
02.86667    0.22632     0.22632        0.77368    0.90000
01.30000    0.88597     0.88597        0.11403    0.90000
01.96667    0.60526     0.60526        0.39474    0.90000
02.20000    0.50702     0.50702        0.49298    0.90000
02.23333    0.49298     0.49298        0.50702    0.90000
01.26667    0.90000     0.90000        0.10000    0.90000
01.73333    0.70351     0.70351        0.29649    0.90000
01.63333    0.74561     0.74561        0.25439    0.90000
01.33333    0.87193     0.87193        0.12807    0.90000
03.16667    0.10000     0.10000        0.90000    0.90000
01.86667    0.64737     0.64737        0.35263    0.90000
02.23333    0.49298     0.49298        0.50702    0.90000
02.33333    0.45088     0.45088        0.54912    0.90000
02.33333    0.45088     0.45088        0.54912    0.90000
03.06667    0.14211     0.14211        0.85789    0.90000
01.76667    0.68947     0.68947        0.31053    0.90000
01.56667    0.77368     0.77368        0.22632    0.90000
02.33333    0.45088     0.45088        0.54912    0.90000
02.70000    0.29649     0.29649        0.70351    0.90000
03.06667    0.14211     0.14211        0.85789    0.90000
01.36667    0.85789     0.85789        0.14211    0.90000
