# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.266667]
# Max mean shortest path [2.833333]
# Range of value [1.566666]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.90000    0.57660     0.57660        0.42340    0.90000
02.16667    0.44043     0.44043        0.55957    0.90000
01.30000    0.88298     0.88298        0.11702    0.90000
01.50000    0.78085     0.78085        0.21915    0.90000
01.56667    0.74681     0.74681        0.25319    0.90000
01.50000    0.78085     0.78085        0.21915    0.90000
01.43333    0.81489     0.81489        0.18511    0.90000
01.80000    0.62766     0.62766        0.37234    0.90000
01.70000    0.67872     0.67872        0.32128    0.90000
02.66667    0.18511     0.18511        0.81489    0.90000
02.13333    0.45745     0.45745        0.54255    0.90000
01.63333    0.71277     0.71277        0.28723    0.90000
01.80000    0.62766     0.62766        0.37234    0.90000
01.93333    0.55957     0.55957        0.44043    0.90000
02.56667    0.23617     0.23617        0.76383    0.90000
01.86667    0.59362     0.59362        0.40638    0.90000
02.36667    0.33830     0.33830        0.66170    0.90000
02.53333    0.25319     0.25319        0.74681    0.90000
01.86667    0.59362     0.59362        0.40638    0.90000
02.70000    0.16808     0.16808        0.83192    0.90000
01.70000    0.67872     0.67872        0.32128    0.90000
01.70000    0.67872     0.67872        0.32128    0.90000
01.26667    0.90000     0.90000        0.10000    0.90000
01.33333    0.86596     0.86596        0.13404    0.90000
01.93333    0.55957     0.55957        0.44043    0.90000
01.86667    0.59362     0.59362        0.40638    0.90000
01.33333    0.86596     0.86596        0.13404    0.90000
02.10000    0.47447     0.47447        0.52553    0.90000
01.96667    0.54255     0.54255        0.45745    0.90000
02.83333    0.10000     0.10000        0.90000    0.90000
