# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.84]
# Max mean shortest path [4.36]
# Range of value [2.52]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.96000    0.86190     0.86190        0.13810    0.90000
02.14000    0.80476     0.80476        0.19524    0.90000
01.84000    0.90000     0.90000        0.10000    0.90000
01.96000    0.86190     0.86190        0.13810    0.90000
02.16000    0.79841     0.79841        0.20159    0.90000
02.64000    0.64603     0.64603        0.35397    0.90000
02.48000    0.69683     0.69683        0.30317    0.90000
02.04000    0.83651     0.83651        0.16349    0.90000
02.04000    0.83651     0.83651        0.16349    0.90000
02.56000    0.67143     0.67143        0.32857    0.90000
02.68000    0.63333     0.63333        0.36667    0.90000
02.22000    0.77937     0.77937        0.22063    0.90000
02.32000    0.74762     0.74762        0.25238    0.90000
03.28000    0.44286     0.44286        0.55714    0.90000
02.38000    0.72857     0.72857        0.27143    0.90000
02.92000    0.55714     0.55714        0.44286    0.90000
02.54000    0.67778     0.67778        0.32222    0.90000
02.14000    0.80476     0.80476        0.19524    0.90000
02.28000    0.76032     0.76032        0.23968    0.90000
02.74000    0.61429     0.61429        0.38571    0.90000
02.48000    0.69683     0.69683        0.30317    0.90000
03.20000    0.46825     0.46825        0.53175    0.90000
03.52000    0.36667     0.36667        0.63333    0.90000
01.92000    0.87460     0.87460        0.12540    0.90000
02.16000    0.79841     0.79841        0.20159    0.90000
02.02000    0.84286     0.84286        0.15714    0.90000
02.02000    0.84286     0.84286        0.15714    0.90000
03.02000    0.52540     0.52540        0.47460    0.90000
01.90000    0.88095     0.88095        0.11905    0.90000
03.78000    0.28413     0.28413        0.71587    0.90000
03.56000    0.35397     0.35397        0.64603    0.90000
03.82000    0.27143     0.27143        0.72857    0.90000
02.24000    0.77302     0.77302        0.22698    0.90000
02.68000    0.63333     0.63333        0.36667    0.90000
02.16000    0.79841     0.79841        0.20159    0.90000
03.50000    0.37302     0.37302        0.62698    0.90000
02.74000    0.61429     0.61429        0.38571    0.90000
02.68000    0.63333     0.63333        0.36667    0.90000
03.60000    0.34127     0.34127        0.65873    0.90000
02.22000    0.77937     0.77937        0.22063    0.90000
03.40000    0.40476     0.40476        0.59524    0.90000
03.20000    0.46825     0.46825        0.53175    0.90000
02.98000    0.53810     0.53810        0.46190    0.90000
02.60000    0.65873     0.65873        0.34127    0.90000
02.56000    0.67143     0.67143        0.32857    0.90000
04.36000    0.10000     0.10000        0.90000    0.90000
03.50000    0.37302     0.37302        0.62698    0.90000
04.20000    0.15079     0.15079        0.84921    0.90000
03.34000    0.42381     0.42381        0.57619    0.90000
02.94000    0.55079     0.55079        0.44921    0.90000
