# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.525]
# Max mean shortest path [3.625]
# Range of value [2.1]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.85000    0.77619     0.77619        0.22381    0.90000
01.95000    0.73810     0.73810        0.26190    0.90000
01.60000    0.87143     0.87143        0.12857    0.90000
01.60000    0.87143     0.87143        0.12857    0.90000
01.52500    0.90000     0.90000        0.10000    0.90000
01.72500    0.82381     0.82381        0.17619    0.90000
02.25000    0.62381     0.62381        0.37619    0.90000
01.77500    0.80476     0.80476        0.19524    0.90000
02.07500    0.69048     0.69048        0.30952    0.90000
01.92500    0.74762     0.74762        0.25238    0.90000
02.77500    0.42381     0.42381        0.57619    0.90000
01.90000    0.75714     0.75714        0.24286    0.90000
01.62500    0.86190     0.86190        0.13810    0.90000
02.00000    0.71905     0.71905        0.28095    0.90000
01.92500    0.74762     0.74762        0.25238    0.90000
03.62500    0.10000     0.10000        0.90000    0.90000
01.85000    0.77619     0.77619        0.22381    0.90000
02.37500    0.57619     0.57619        0.42381    0.90000
01.85000    0.77619     0.77619        0.22381    0.90000
02.62500    0.48095     0.48095        0.51905    0.90000
02.20000    0.64286     0.64286        0.35714    0.90000
02.15000    0.66190     0.66190        0.33810    0.90000
02.82500    0.40476     0.40476        0.59524    0.90000
03.12500    0.29048     0.29048        0.70952    0.90000
02.20000    0.64286     0.64286        0.35714    0.90000
02.40000    0.56667     0.56667        0.43333    0.90000
02.15000    0.66190     0.66190        0.33810    0.90000
03.07500    0.30952     0.30952        0.69048    0.90000
02.47500    0.53810     0.53810        0.46190    0.90000
02.62500    0.48095     0.48095        0.51905    0.90000
01.80000    0.79524     0.79524        0.20476    0.90000
01.75000    0.81429     0.81429        0.18571    0.90000
02.82500    0.40476     0.40476        0.59524    0.90000
02.50000    0.52857     0.52857        0.47143    0.90000
01.65000    0.85238     0.85238        0.14762    0.90000
02.30000    0.60476     0.60476        0.39524    0.90000
02.62500    0.48095     0.48095        0.51905    0.90000
01.75000    0.81429     0.81429        0.18571    0.90000
02.30000    0.60476     0.60476        0.39524    0.90000
02.72500    0.44286     0.44286        0.55714    0.90000
