# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.266667]
# Max mean shortest path [3]
# Range of value [1.733333]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.36667    0.85385     0.85385        0.14615    0.90000
01.26667    0.90000     0.90000        0.10000    0.90000
01.43333    0.82308     0.82308        0.17692    0.90000
01.40000    0.83846     0.83846        0.16154    0.90000
01.70000    0.70000     0.70000        0.30000    0.90000
01.30000    0.88462     0.88462        0.11538    0.90000
01.56667    0.76154     0.76154        0.23846    0.90000
01.53333    0.77692     0.77692        0.22308    0.90000
01.76667    0.66923     0.66923        0.33077    0.90000
01.93333    0.59231     0.59231        0.40769    0.90000
01.73333    0.68462     0.68462        0.31538    0.90000
01.83333    0.63846     0.63846        0.36154    0.90000
01.93333    0.59231     0.59231        0.40769    0.90000
01.50000    0.79231     0.79231        0.20769    0.90000
01.96667    0.57692     0.57692        0.42308    0.90000
01.96667    0.57692     0.57692        0.42308    0.90000
01.83333    0.63846     0.63846        0.36154    0.90000
01.70000    0.70000     0.70000        0.30000    0.90000
02.30000    0.42308     0.42308        0.57692    0.90000
02.53333    0.31538     0.31538        0.68462    0.90000
02.13333    0.50000     0.50000        0.50000    0.90000
02.26667    0.43846     0.43846        0.56154    0.90000
02.30000    0.42308     0.42308        0.57692    0.90000
02.33333    0.40769     0.40769        0.59231    0.90000
02.03333    0.54615     0.54615        0.45385    0.90000
01.40000    0.83846     0.83846        0.16154    0.90000
03.00000    0.10000     0.10000        0.90000    0.90000
02.43333    0.36154     0.36154        0.63846    0.90000
02.40000    0.37692     0.37692        0.62308    0.90000
02.40000    0.37692     0.37692        0.62308    0.90000
