# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.333333]
# Max mean shortest path [3.066667]
# Range of value [1.733334]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.56667    0.79231     0.79231        0.20769    0.90000
01.63333    0.76154     0.76154        0.23846    0.90000
01.33333    0.90000     0.90000        0.10000    0.90000
01.66667    0.74615     0.74615        0.25385    0.90000
01.40000    0.86923     0.86923        0.13077    0.90000
01.56667    0.79231     0.79231        0.20769    0.90000
01.70000    0.73077     0.73077        0.26923    0.90000
02.00000    0.59231     0.59231        0.40769    0.90000
01.90000    0.63846     0.63846        0.36154    0.90000
01.53333    0.80769     0.80769        0.19231    0.90000
02.00000    0.59231     0.59231        0.40769    0.90000
01.63333    0.76154     0.76154        0.23846    0.90000
01.66667    0.74615     0.74615        0.25385    0.90000
01.60000    0.77692     0.77692        0.22308    0.90000
01.53333    0.80769     0.80769        0.19231    0.90000
02.36667    0.42308     0.42308        0.57692    0.90000
02.00000    0.59231     0.59231        0.40769    0.90000
01.36667    0.88462     0.88462        0.11538    0.90000
02.20000    0.50000     0.50000        0.50000    0.90000
01.33333    0.90000     0.90000        0.10000    0.90000
01.80000    0.68462     0.68462        0.31538    0.90000
02.10000    0.54615     0.54615        0.45385    0.90000
02.70000    0.26923     0.26923        0.73077    0.90000
02.16667    0.51538     0.51538        0.48462    0.90000
02.70000    0.26923     0.26923        0.73077    0.90000
01.90000    0.63846     0.63846        0.36154    0.90000
03.06667    0.10000     0.10000        0.90000    0.90000
02.86667    0.19231     0.19231        0.80769    0.90000
03.06667    0.10000     0.10000        0.90000    0.90000
02.33333    0.43846     0.43846        0.56154    0.90000
